EC106,IB104,MA137,MA106,ST115
67,73,74,69,68
48,59,58,51,50
66,77,76,71,71
74,79,81,75,72
57,64,64,59,60
53,57,58,53,52
55,61,60,55,58
45,46,49,44,49
65,68,72,66,70
89,84,92,86,82
74,81,82,77,76
65,70,72,66,67
68,68,73,67,68
83,85,90,86,83
78,82,86,81,84
57,62,63,59,62
62,67,69,64,63
57,62,65,60,60
77,80,83,77,78
68,70,73,68,67
48,52,53,48,48
66,68,70,65,64
75,79,81,75,80
57,53,59,54,58
67,66,71,66,68
65,62,68,63,65
47,56,54,49,52
63,65,67,61,64
64,59,65,59,62
71,79,81,77,76
69,77,76,72,71
62,63,67,63,65
57,61,62,57,57
75,78,81,75,77
80,84,87,81,77
64,64,68,65,63
46,45,47,42,45
73,74,77,72,74
49,47,49,45,45
57,68,66,63,59
89,98,99,95,91
53,61,61,56,60
41,47,46,41,45
67,70,73,67,68
79,84,87,82,81
72,82,82,77,75
76,87,87,82,76
75,78,83,78,74
55,55,59,55,55
81,90,91,86,84
67,77,78,73,71
63,65,68,62,69
64,72,72,70,70
51,55,56,50,53
67,62,69,63,63
55,58,59,53,54
53,59,60,54,55
70,73,76,71,71
80,82,87,82,77
52,59,58,53,53
63,71,71,66,64
72,74,78,73,74
55,54,59,54,52
45,44,46,40,42
70,77,78,74,72
60,69,69,65,64
55,54,58,52,57
54,57,58,54,60
64,57,65,62,60
55,62,62,58,57
66,71,73,67,69
64,67,70,64,68
67,70,72,67,70
62,58,64,58,59
50,51,53,48,50
78,81,84,80,74
51,56,56,49,51
50,60,59,53,56
67,70,73,66,71
59,61,63,58,62
59,64,66,62,62
65,72,73,69,67
52,56,58,54,54
54,61,62,58,57
53,57,58,52,56
55,61,61,56,55
65,74,75,70,69
61,63,65,61,65
71,70,75,70,71
65,70,72,69,65
53,53,56,52,51
61,60,63,57,60
50,57,58,53,53
64,71,71,66,65
41,40,43,37,40
67,67,71,66,63
51,59,59,54,59
79,84,87,83,79
56,60,61,56,60
68,65,70,65,68
